Algorithm,Time_s,Altitude_m,Longitude_rad,Latitude_rad,Longitude_deg,Latitude_deg,Velocity_mps,FlightPath_rad,FlightPath_deg,Azimuth_rad,Azimuth_deg,HeatLoad_Jm2,PositionX_km,PositionY_km,PositionZ_km,ReferenceAltitude_m,ReferenceLongitude_rad,ReferenceLatitude_rad,ReferenceLongitude_deg,ReferenceLatitude_deg,ReferenceVelocity_mps,ReferenceFlightPath_rad,ReferenceFlightPath_deg,ReferenceAzimuth_rad,ReferenceAzimuth_deg,ReferencePositionX_km,ReferencePositionY_km,ReferencePositionZ_km,PositionErrorX_km,PositionErrorY_km,PositionErrorZ_km,PositionErrorNorm_km,AtmosphericDensity_kgm3,BankAngle_rad,BankAngle_deg,AngleOfAttack_rad,AngleOfAttack_deg,ReferenceBankAngle_rad,ReferenceBankAngle_deg,ReferenceAngleOfAttack_rad,ReferenceAngleOfAttack_deg,HeatRate_Wm2
SM-MPG,0.0,125000.0,0.0,0.0,0.0,0.0,7200.0,-0.017453292519943295,-1.0,1.5707963267948966,90.0,0.0,6503.137,0.0,0.0,125000.0,0.0,0.0,0.0,0.0,7200.0,-0.017453292519943295,-1.0,1.5707963267948966,90.0,6503.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM-MPG,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
SM-MPG,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
SM-MPG,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
SM-MPG,0.1,124987.42698677715,0.00011069914905157553,6.778367927717387e-21,0.006342594036344908,3.8837187424504413e-19,7200.016458838671,-0.017473479489556562,-1.001156628159999,1.5707963267948966,90.0,0.0,6503.124387141153,0.7198903387736587,4.408057004584268e-17,124987.37613409219,0.00011070065031918164,6.778459866706122e-21,0.0063426800526426574,3.8837714196107134e-19,7200.0165186525865,-0.017473481058813856,-1.0011567180718188,1.5707963267948968,90.00000000000001,6503.124336287387,0.7199000960742142,4.408116759182323e-17,5.0853765969804954e-5,-9.75730055552404e-6,-5.975459805484827e-22,5.178137143261582e-5,9.381924144352994e-9,0.0,0.0,0.0,0.0,9.851361350326692e-14,5.6444142783201905e-12,2.7378125626523643e-5,0.0015686510493787675,0.0
SM-MPG,0.2,124974.83941176452,0.00022139872635726888,1.3556762078436503e-20,0.012685212609843326,7.767452509574135e-19,7200.0329315786585,-0.017493668090627166,-1.002313349795618,1.5707963267948966,90.0,0.004738205628670326,6503.111680028961,1.4397806668422577,8.816113997636887e-17,124974.75226818435,0.00022140130063836327,1.3556919733412243e-20,0.012685360105285315,7.767542839221427e-19,7200.033037305172,-0.017493669597684416,-1.0023134361436379,1.5707963267948966,90.0,6503.111592881676,1.4397973883860082,8.816216404290962e-17,8.714728483028011e-5,-1.6721543750541912e-5,-1.0240665407432875e-21,8.87370231565791e-5,9.393142202363542e-9,1.5018736292183897e-13,8.605102031620961e-12,4.167049450623868e-5,0.0023875434654305593,1.9702722700653383e-13,1.1288828556640381e-11,5.475625125304729e-5,0.003137302098757535,0.04738230089394482
SM-MPG,0.2,124974.83941176452,0.00022139872635726888,1.3556762078436503e-20,0.012685212609843326,7.767452509574135e-19,7200.0329315786585,-0.017493668090627166,-1.002313349795618,1.5707963267948966,90.0,0.004738205628670326,6503.111680028961,1.4397806668422577,8.816113997636887e-17,124974.75226818435,0.00022140130063836327,1.3556919733412243e-20,0.012685360105285315,7.767542839221427e-19,7200.033037305172,-0.017493669597684416,-1.0023134361436379,1.5707963267948966,90.0,6503.111592881676,1.4397973883860082,8.816216404290962e-17,8.714728483028011e-5,-1.6721543750541912e-5,-1.0240665407432875e-21,8.87370231565791e-5,9.393142202363542e-9,1.5018736292183897e-13,8.605102031620961e-12,4.167049450623868e-5,0.0023875434654305593,1.9702722700653383e-13,1.1288828556640381e-11,5.475625125304729e-5,0.003137302098757535,0.04738230089394482
SM-MPG,0.30000000000000004,124962.23727438015,0.0003320987323735739,2.033518248010954e-20,0.019027855746650425,1.1651201317386508e-18,7200.049423401617,-0.01751385642639408,-1.0034700562304553,1.5707963267948966,90.0,0.00948115976861067,6503.098878662381,2.1596709735001802,1.322417096762357e-16,124962.12840227655,0.0003321019509575449,2.0335379600118363e-20,0.019028040157927972,1.165131425883214e-18,7200.049555957758,-0.017513858136554976,-1.0034701542154567,1.5707963267948966,90.0,6503.098769783332,2.1596918681133555,1.3224298935325918e-16,0.00010887904954870464,-2.089461317522634e-5,-1.279677023474915e-21,0.00011086583012980881,9.404392524573098e-9,1.5018736292183897e-13,8.605102031620961e-12,4.167049450623868e-5,0.0023875434654305593,2.9554084050980076e-13,1.6933242834960573e-11,8.213437687957092e-5,0.004705953148136302,0.047429786534819725
SM-MPG,0.30000000000000004,124962.23727438015,0.0003320987323735739,2.033518248010954e-20,0.019027855746650425,1.1651201317386508e-18,7200.049423401617,-0.01751385642639408,-1.0034700562304553,1.5707963267948966,90.0,0.00948115976861067,6503.098878662381,2.1596709735001802,1.322417096762357e-16,124962.12840227655,0.0003321019509575449,2.0335379600118363e-20,0.019028040157927972,1.165131425883214e-18,7200.049555957758,-0.017513858136554976,-1.0034701542154567,1.5707963267948966,90.0,6503.098769783332,2.1596918681133555,1.3224298935325918e-16,0.00010887904954870464,-2.089461317522634e-5,-1.279677023474915e-21,0.00011086583012980881,9.404392524573098e-9,1.5018736292183897e-13,8.605102031620961e-12,4.167049450623868e-5,0.0023875434654305593,2.9554084050980076e-13,1.6933242834960573e-11,8.213437687957092e-5,0.004705953148136302,0.047429786534819725
SM-MPG,0.4,124949.6205747203,0.0004427991675986584,2.7113629163240476e-20,0.025370523475309117,1.5534965183365052e-18,7200.065934307492,-0.01753404449655408,-1.004626747447137,1.5707963267948966,90.0,0.014228875130081114,6503.085983041048,2.879561248312665,1.763222790466937e-16,124949.50453636874,0.00044280260127672655,2.7113839466824486e-20,0.02537072021057063,1.5535085678442854e-18,7200.066074610344,-0.017534046675425533,-1.0046268722872755,1.5707963267948966,90.0,6503.08586699282,2.879583526434298,1.763236435228719e-16,0.00011604822793742642,-2.2278121633245718e-5,-1.3644761781912432e-21,0.0001181672793582156,9.415675223734678e-9,1.5018736292183897e-13,8.605102031620961e-12,4.167049450623868e-5,0.0023875434654305593,3.9405445401306767e-13,2.2577657113280762e-11,0.00010951250250609457,0.00627460419751507,0.04747739927951718
